압생트
상면발효맥주
매실주
아쿠아비트
아르마냐크
바나나리큐르
맥주
버번위스키
브랜디
부르고뉴포도주
칼바도스
캄파리
샤블리포도주
커피리큐르
코냑
맛술
둥켈
드람부이
과실주
갈리아노
진
진저에일
진저비어
에탄올
그랑마르니에
그라파
예거마이스터
칼루아
케피르
키르슈바서
증류주
메스칼
우조
페일에일
파스티스
피스코
포르투포도주
적포도주
청주
럼
스카치위스키
스카치보넷
셰리
데킬라
보드카
위스키
포도주
