스튜
브레드푸딩
불구르
부리토
칼라마리
카포나타
처트니
콜슬로우
쿠스쿠스
크림수프
크렘앙글레즈
크렘드카시스
크렘프레슈
크레프
커리
덤플링
에스카르고
감자튀김
뇨키
햄버거
핫도그
훔무스
가마보코
마르살라
미트로프
뮤즐리
버섯크림수프
어니언링
양파수프
파테
피코데가요
피에로기
폴렌타
포솔레
포트로스트
감자샐러드
라이타
라비올리
루
타프나드
두부
토마토수프
혼합채소수프
베지버거
훈툰
